text_id,word_position,FFD,TRT,word,word_clean,zipf_freq,log_unigram_freq,word_length,log_FFD,log_TRT,corpus,primary_RT,log_primary_RT,row_uid,surprisal,hidden_row_idx,token_ids_str,n_tokens,start_token_idx,end_token_idx,hidden_token_idx
48,44,176.67441860465115,108.33333333333331,years,years,5.96,-3.040005114051578,5,5.174308595809659,4.685212893661628,provo,176.67441860465115,5.174308595809659,provo:48:44,0.029435690492391586,2302,[812],1,45,45,45
48,45,180.55555555555551,58.035714285714285,in,in,7.27,-1.730487053447167,2,5.196038517427619,4.061058584588634,provo,180.55555555555551,5.196038517427619,provo:48:45,0.14709247648715973,2303,[287],1,46,46,46
48,46,209.34246575342465,225.1309523809524,prison,prison,4.8,-4.199969952492573,6,5.343971503059121,5.416682243483959,provo,209.34246575342465,5.343971503059121,provo:48:46,0.19109490513801575,2304,[3770],1,47,47,47
48,47,239.76,78.16666666666667,in,in,7.27,-1.730487053447167,2,5.479638423008407,4.358843299218225,provo,239.76,5.479638423008407,provo:48:47,7.206080436706543,2305,[287],1,48,48,48
48,48,234.42857142857144,83.82142857142857,the,the,7.73,-1.2700257134917023,3,5.457150942034778,4.428688685675819,provo,234.42857142857144,5.457150942034778,provo:48:48,1.909005045890808,2306,[262],1,49,49,49
48,49,248.83870967741936,296.5238095238095,United,united,5.47,-3.530177836803394,6,5.5168049342830265,5.692127517149029,provo,248.83870967741936,5.5168049342830265,provo:48:49,1.1010628938674927,2307,[1578],1,50,50,50
48,50,263.0625,138.4404761904762,States,states,5.52,-3.480171875017509,6,5.5723916465307894,4.93044045844973,provo,263.0625,5.5723916465307894,provo:48:50,0.0040505193173885345,2308,[1829],1,51,51,51
49,2,193.11688311688312,343.25,"centuries,",centuries,4.32,-4.6798516359298885,9,5.263295617600517,5.83845904464808,provo,193.11688311688312,5.263295617600517,provo:49:2,,2309,"[1087, 4740, 11]",3,0,2,2
49,3,204.40625,209.07142857142856,time,time,6.29,-2.709965366365971,4,5.320109435161486,5.342675957076628,provo,204.40625,5.320109435161486,provo:49:3,11.47545337677002,2310,[640],1,3,3,3
49,4,199.8703703703704,152.0595238095238,was,was,6.82,-2.1797985339440955,3,5.297669008261072,5.024272048199463,provo,199.8703703703704,5.297669008261072,provo:49:4,5.873860836029053,2311,[373],1,4,4,4
49,5,199.2054794520548,254.5595238095238,measured,measured,4.25,-4.749577557841319,8,5.294336852061611,5.5395346939463215,provo,199.2054794520548,5.294336852061611,provo:49:5,7.769990921020508,2312,[8630],1,5,5,5
49,6,188.66666666666663,75.32142857142857,by,by,6.66,-2.340083790426988,2,5.239981789535073,4.321764670303571,provo,188.66666666666663,5.239981789535073,provo:49:6,2.571237325668335,2313,[416],1,6,6,6
49,7,193.2173913043478,125.60714285714286,the,the,7.73,-1.2700257134917023,3,5.263815934830371,4.833159122298778,provo,193.2173913043478,5.263815934830371,provo:49:7,2.2756898403167725,2314,[262],1,7,7,7
49,8,205.57971014492753,228.53571428571428,position,position,5.21,-3.7904847173744383,8,5.325833842645692,5.431692496964256,provo,205.57971014492753,5.325833842645692,provo:49:8,10.78888988494873,2315,[2292],1,8,8,8
49,9,206.1176470588235,44.44047619047619,of,of,7.4,-1.600326276788705,2,5.328447108000066,3.79415068007127,provo,206.1176470588235,5.328447108000066,provo:49:9,0.253292053937912,2316,[286],1,9,9,9
49,10,215.1818181818182,129.04761904761904,the,the,7.73,-1.2700257134917023,3,5.371483336715613,4.8601814761503235,provo,215.1818181818182,5.371483336715613,provo:49:10,0.7623547315597534,2317,[262],1,10,10,10
49,11,211.2391304347826,128.63095238095238,sun,sun,4.97,-4.03011789077199,3,5.3529908113503435,4.856947470097673,provo,211.2391304347826,5.3529908113503435,provo:49:11,5.692209720611572,2318,[4252],1,11,11,11
49,12,196.6122448979592,137.07142857142858,with,with,6.85,-2.149966736176128,4,5.28123348907954,4.920502166392441,provo,196.6122448979592,5.28123348907954,provo:49:12,7.412399768829346,2319,[351],1,12,12,12
49,13,208.9268292682927,114.46428571428572,the,the,7.73,-1.2700257134917023,3,5.341984091471009,4.740262859179566,provo,208.9268292682927,5.341984091471009,provo:49:13,2.5860211849212646,2320,[262],1,13,13,13
49,14,216.2542372881356,175.95238095238096,use,use,5.81,-3.1897674147766732,3,5.376454740016023,5.170213395658879,provo,216.2542372881356,5.376454740016023,provo:49:14,9.201986312866211,2321,[779],1,14,14,14
49,15,182.3939393939394,79.5952380952381,of,of,7.4,-1.600326276788705,2,5.206168850081291,4.37695426813673,provo,182.3939393939394,5.206168850081291,provo:49:15,0.010936780832707882,2322,[286],1,15,15,15
49,16,236.19736842105263,344.0833333333333,sundials.,sundials,1.8,-7.199282921717615,8,5.464667762384739,5.84088387609809,provo,236.19736842105263,5.464667762384739,provo:49:16,17.066524505615234,2323,"[37437, 8231, 13]",3,16,18,18
49,17,211.44444444444449,167.46428571428572,Noon,noon,4.11,-4.8894069230899095,4,5.35396228995993,5.120770108914383,provo,211.44444444444449,5.35396228995993,provo:49:17,13.99070930480957,2324,[41035],1,19,19,19
49,18,228.6875,161.96428571428572,was,was,6.82,-2.1797985339440955,3,5.432356442779426,5.087375852374033,provo,228.6875,5.432356442779426,provo:49:18,1.5543781518936157,2325,[373],1,20,20,20
