corpus,hook,label,kind,group,n_rows,mean_active,fraction_zero_rows,mean_relative_l2_error,mean_cosine_similarity,reconstruction_r2_centered
natural_stories,blocks.3.hook_resid_pre,L04,post,all,10256,27.067570202808117,0.0,0.1780957728624344,0.9832980632781982,0.8993343438614777
natural_stories,blocks.3.hook_resid_pre,L04,prefix,all,10256,26.995807332293293,0.0,0.1779271215200424,0.9833146333694458,0.9828600153236609
natural_stories,blocks.3.hook_resid_pre,L04,prefix,text_token,10246,27.010443099746244,0.0,0.178096517920494,0.9832982420921326,0.8993113181673354
natural_stories,blocks.3.hook_resid_pre,L04,prefix,bos,10,12.0,0.0,0.0043741771951317,0.9999923706054688,
natural_stories,blocks.4.hook_resid_pre,L05,post,all,10256,34.57576053042121,0.0,0.2115345001220703,0.9767202734947203,0.8794933679323564
natural_stories,blocks.4.hook_resid_pre,L05,prefix,all,10256,34.48478939157566,0.0,0.211337611079216,0.976743221282959,0.9769270133141797
natural_stories,blocks.4.hook_resid_pre,L05,prefix,text_token,10246,34.507710325980874,0.0,0.2115396857261657,0.9767205119132996,0.8794881537133137
natural_stories,blocks.4.hook_resid_pre,L05,prefix,bos,10,11.0,0.0,0.0042977603152394,0.9999983906745912,
natural_stories,blocks.5.hook_resid_pre,L06,post,all,10256,47.094676287051485,0.0,0.2380510866641998,0.9708524346351624,0.8646557770101819
natural_stories,blocks.5.hook_resid_pre,L06,prefix,all,10256,46.94042511700468,0.0,0.2377998530864715,0.9708880186080932,0.971418396029799
natural_stories,blocks.5.hook_resid_pre,L06,prefix,text_token,10246,46.97745461643568,0.0,0.2380303889513015,0.9708596467971802,0.8646604747337203
natural_stories,blocks.5.hook_resid_pre,L06,prefix,bos,10,9.0,0.0,0.0015951560344547,0.999999225139618,
natural_stories,blocks.6.hook_resid_pre,L07,post,all,10256,54.24502730109205,0.0,0.2591900527477264,0.9654584527015686,0.8521866955813479
natural_stories,blocks.6.hook_resid_pre,L07,prefix,all,10256,54.1072542901716,0.0,0.2589204907417297,0.965499222278595,0.9638250377477556
natural_stories,blocks.6.hook_resid_pre,L07,prefix,text_token,10246,54.14835057583447,0.0,0.2591701149940491,0.9654655456542968,0.8521972319255495
natural_stories,blocks.6.hook_resid_pre,L07,prefix,bos,10,12.0,0.0,0.0031322888098657,0.9999968409538268,
natural_stories,blocks.7.hook_resid_pre,L08,post,all,10256,63.125780031201245,0.0,0.2801527976989746,0.9597864747047424,0.838029700090482
natural_stories,blocks.7.hook_resid_pre,L08,prefix,all,10256,62.96977379095164,0.0,0.2798339426517486,0.9598409533500672,0.9530639678536778
natural_stories,blocks.7.hook_resid_pre,L08,prefix,text_token,10246,63.02147179387078,0.0,0.2801026999950409,0.9598017930984496,0.8380689912193398
natural_stories,blocks.7.hook_resid_pre,L08,prefix,bos,10,10.0,0.0,0.0044858520850539,0.9999927282333374,
natural_stories,blocks.8.hook_resid_pre,L09,post,all,10256,73.63436037441498,0.0,0.2939904034137726,0.9556315541267396,0.8282563217681709
natural_stories,blocks.8.hook_resid_pre,L09,prefix,all,10256,73.43710998439937,0.0,0.2936889231204986,0.9556833505630492,0.938745082208638
natural_stories,blocks.8.hook_resid_pre,L09,prefix,text_token,10246,73.5009759906305,0.0,0.2939733266830444,0.9556400775909424,0.828260530871004
natural_stories,blocks.8.hook_resid_pre,L09,prefix,bos,10,8.0,0.0,0.0022829177323728,0.9999982118606568,
natural_stories,blocks.9.hook_resid_pre,L10,post,all,10256,81.35296411856474,0.0,0.3044095039367676,0.9523613452911376,0.8169992073493217
natural_stories,blocks.9.hook_resid_pre,L10,prefix,all,10256,81.16107644305772,0.0,0.3040908873081207,0.9524169564247132,0.9190077913996494
natural_stories,blocks.9.hook_resid_pre,L10,prefix,text_token,10246,81.22857700566074,0.0,0.3043848276138305,0.9523705244064332,0.8169915147078622
natural_stories,blocks.9.hook_resid_pre,L10,prefix,bos,10,12.0,0.0,0.0028782575391232,0.9999982118606568,
natural_stories,blocks.10.hook_resid_pre,L11,post,all,10256,61.73751950078003,0.0,0.3254818022251129,0.9455207586288452,0.774882104850118
natural_stories,blocks.10.hook_resid_pre,L11,prefix,all,10256,61.57127535101404,0.0,0.3251435756683349,0.9455950260162354,0.8763938056557239
natural_stories,blocks.10.hook_resid_pre,L11,prefix,text_token,10246,61.62160843255905,0.0,0.3254308104515075,0.9455419182777404,0.7748884101949303
natural_stories,blocks.10.hook_resid_pre,L11,prefix,bos,10,10.0,0.0,0.030811820179224,0.9999994039535522,
natural_stories,blocks.11.hook_resid_pre,L12,post,all,10256,67.86690717628706,0.0,0.2889579534530639,0.9570189714431764,0.7701357446136243
natural_stories,blocks.11.hook_resid_pre,L12,prefix,all,10256,67.70388065522621,0.0,0.2885893583297729,0.9570900797843932,0.8481890308563355
natural_stories,blocks.11.hook_resid_pre,L12,prefix,text_token,10246,67.76117509271911,0.0,0.2888690233230591,0.957048237323761,0.7701734315187597
natural_stories,blocks.11.hook_resid_pre,L12,prefix,bos,10,9.0,0.0,0.0020519401878118,0.9999979734420776,
natural_stories,blocks.11.hook_resid_post,final_resid_post,post,all,10256,76.66536661466459,0.0,0.1798157840967178,0.9836711287498474,0.8013939519354119
natural_stories,blocks.11.hook_resid_post,final_resid_post,prefix,all,10256,76.55508970358814,0.0,0.1796349734067917,0.983689785003662,0.8025899342662111
natural_stories,blocks.11.hook_resid_post,final_resid_post,prefix,text_token,10246,76.6259027913332,0.0,0.1797944456338882,0.9836739897727966,0.801429240970642
natural_stories,blocks.11.hook_resid_post,final_resid_post,prefix,bos,10,4.0,0.0,0.0162514466792345,0.9999106526374816,
